Week,Home Team,Away Team,Time,Score
Week 1,"July 3, 2023",,,
,Team 1,Team 2,6:00 PM,TBD
,Team 3,Team 4,7:00 PM,TBD
,Team 5,Team 6,8:00 PM,TBD
,Team 7,Team 8,9:00 PM,TBD
,Team 9,Team 10,BYE,
Week 2,"July 10, 2023",,,
,Team 3,Team 10,6:00 PM,TBD
,Team 5,Team 2,7:00 PM,TBD
,Team 7,Team 4,8:00 PM,TBD
,Team 9,Team 6,9:00 PM,TBD
,Team 1,Team 8,BYE,
Week 3,"July 17, 2023",,,
,Team 5,Team 8,6:00 PM,TBD
,Team 7,Team 10,7:00 PM,TBD
,Team 9,Team 2,8:00 PM,TBD
,Team 1,Team 4,9:00 PM,TBD
,Team 3,Team 6,BYE,
Week 4,"July 24, 2023",,,
,Team 7,Team 6,6:00 PM,TBD
,Team 9,Team 8,7:00 PM,TBD
,Team 1,Team 10,8:00 PM,TBD
,Team 3,Team 2,9:00 PM,TBD
,Team 5,Team 4,BYE,
Week 5,"July 31, 2023",,,
,Team 9,Team 4,6:00 PM,TBD
,Team 1,Team 6,7:00 PM,TBD
,Team 3,Team 8,8:00 PM,TBD
,Team 5,Team 10,9:00 PM,TBD
,Team 7,Team 2,BYE,
Week 6,"August 7, 2023",,,
,Team 1,Team 8,6:00 PM,TBD
,Team 3,Team 6,7:00 PM,TBD
,Team 5,Team 4,8:00 PM,TBD
,Team 7,Team 2,9:00 PM,TBD
,Team 9,Team 10,BYE,
Week 7,"August 14, 2023",,,
,Team 7,Team 9,6:00 PM,TBD
,Team 3,Team 1,7:00 PM,TBD
,Team 2,Team 4,8:00 PM,TBD
,Team 10,Team 8,9:00 PM,TBD
,Team 5,Team 6,BYE,
Week 8,"August 21, 2023",,,
,Team 10,Team 2,6:00 PM,TBD
,Team 3,Team 9,7:00 PM,TBD
,Team 5,Team 7,8:00 PM,TBD
,Team 6,Team 4,9:00 PM,TBD
,Team 1,Team 8,BYE,
Week 9,"August 28, 2023",,,
,Team 1,Team 7,6:00 PM,TBD
,Team 5,Team 9,7:00 PM,TBD
,Team 2,Team 8,8:00 PM,TBD
,Team 6,Team 10,9:00 PM,TBD
,Team 3,Team 4,BYE,
Week 10,"September 4, 2023",,,
,Team 1,Team 9,6:00 PM,TBD
,Team 3,Team 5,7:00 PM,TBD
,Team 4,Team 10,8:00 PM,TBD
,Team 6,Team 8,9:00 PM,TBD
,Team 2,Team 7,BYE,
Week 11,"September 11, 2023",,,
,Team 1,Team 5,6:00 PM,TBD
,Team 3,Team 7,7:00 PM,TBD
,Team 4,Team 8,8:00 PM,TBD
,Team 2,Team 6,9:00 PM,TBD
,Team 9,Team 10,10:00 PM,TBD